report_date,views,estimated_minutes_watched,average_view_duration,subscribers_gained,subscribers_lost,likes,comments,shares,current_subscribers,lifetime_views,video_count,analytics_complete
2026-07-15,33,9.0,50.0,0,0,2,1,0,6,3033,36,True
2026-07-16,493,20.0,14.0,0,0,3,1,0,6,3033,36,True
2026-07-17,280,13.0,24.0,1,0,4,1,0,6,3033,36,True
2026-07-18,548,17.0,10.0,0,0,3,3,0,6,3033,36,True
2026-07-19,5,22.0,338.0,0,0,1,1,0,6,3033,36,True
2026-07-20,255,51.0,132.0,0,0,4,0,0,6,3033,36,True
2026-07-21,179,4.0,9.0,0,0,5,2,0,6,3033,36,True
2026-07-22,121,24.0,84.0,0,0,1,0,0,6,3217,37,True
2026-07-23,71,4.0,28.0,0,0,0,0,0,6,3339,38,True
2026-07-24,343,167.0,175.0,1,0,2,0,0,7,3410,39,True
2026-07-25,0,0.0,0.0,0,0,0,0,0,7,3418,40,False
2026-07-26,0,0.0,0.0,0,0,0,0,0,7,3809,41,False
