report_date,views,estimated_minutes_watched,average_view_duration,subscribers_gained,subscribers_lost,likes,comments,shares,current_subscribers,lifetime_views,video_count,analytics_complete
2026-07-15,33,9.0,50.0,0,0,2,1,0,6,3033,36,True
2026-07-16,493,20.0,14.0,0,0,3,1,0,6,3033,36,True
2026-07-17,280,13.0,24.0,1,0,4,1,0,6,3033,36,True
2026-07-18,548,17.0,10.0,0,0,3,3,0,6,3033,36,True
2026-07-19,5,22.0,338.0,0,0,1,1,0,6,3033,36,True
2026-07-20,255,51.0,132.0,0,0,4,0,0,6,3033,36,True
2026-07-21,188,50.0,167.0,0,0,5,2,0,6,3033,36,True
2026-07-22,121,24.0,84.0,0,0,1,0,0,6,3217,37,True
2026-07-23,70,4.0,28.0,0,0,0,0,0,6,3339,38,True
2026-07-24,343,167.0,175.0,1,0,2,0,0,7,3410,39,True
2026-07-25,82,6.0,13.0,0,0,5,0,0,7,3418,40,True
2026-07-26,23,3.0,38.0,0,0,0,0,0,7,3809,41,True
2026-07-27,3,5.0,165.0,0,0,0,0,0,7,3850,38,True
2026-07-28,7,73.0,627.0,0,0,1,0,0,7,3852,38,True
2026-07-29,1,3.0,194.0,0,0,0,0,0,7,3860,41,True
2026-07-30,7,84.0,723.0,0,0,0,0,0,7,3860,41,True
2026-07-31,5,37.0,446.0,0,0,0,0,0,7,3867,41,True
2026-08-01,5,107.0,1289.0,1,0,0,0,0,8,3867,41,True
2026-08-02,1,0.0,25.0,0,0,0,0,0,8,3867,41,True
2026-08-03,0,0.0,0.0,0,0,0,0,0,8,3878,41,True
2026-08-04,1,0.0,20.0,0,0,0,0,0,8,3880,41,True
2026-08-05,1,0.0,0.0,0,0,0,0,0,8,3879,41,True
2026-08-06,0,0.0,0.0,0,0,0,0,0,8,3880,41,True
2026-08-07,6,4.0,71.0,0,0,0,0,0,8,3880,41,True
2026-08-08,1,0.0,20.0,0,0,0,0,0,8,3887,41,True
2026-08-09,2,0.0,18.0,0,0,0,0,0,8,3887,41,True
2026-08-10,1,0.0,2.0,0,0,0,0,0,8,3889,41,True
2026-08-11,1,0.0,29.0,0,0,0,0,0,8,3889,41,True
2026-08-12,0,0.0,0.0,0,0,0,0,0,8,3891,41,True
2026-08-13,0,0.0,0.0,0,0,0,0,0,8,3891,41,True
2026-08-14,0,0.0,0.0,0,0,0,0,0,8,3891,41,True
2026-08-15,0,0.0,0.0,0,0,0,0,0,8,3891,41,True
2026-08-16,1,0.0,2.0,0,0,0,0,0,8,3891,41,True
2026-08-17,0,0.0,0.0,0,0,0,0,0,8,3892,41,True
2026-08-18,0,0.0,0.0,0,0,0,0,0,8,3892,41,True
2026-08-19,1,0.0,0.0,0,0,0,0,0,8,3892,41,True
2026-08-20,0,0.0,0.0,0,0,0,0,0,8,3893,41,True
2026-08-21,0,0.0,0.0,0,0,0,0,0,8,3893,41,True
2026-08-22,0,0.0,0.0,0,0,0,0,0,8,3893,41,True
2026-08-23,0,0.0,0.0,0,0,0,0,0,8,3893,41,False
2026-08-24,0,0.0,0.0,0,0,0,0,0,8,3893,41,False
